"ID.EVENTO","TITULO","PRECIO","GRATUITO","LARGA.DURACION","DIAS.SEMANA","DIAS.EXCLUIDOS","FECHA","FECHA.FIN","HORA","DESCRIPCION","CONTENT.URL","TITULO.ACTIVIDAD","URL.ACTIVIDAD","URL.INSTALACION","NOMBRE.INSTALACION","ACCESIBILIDAD.INSTALACION","CLASE.VIAL.INSTALACION","NOMBRE.VIA.INSTALACION","NUM.INSTALACION","DISTRITO.INSTALACION","BARRIO.INSTALACION","CODIGO.POSTAL.INSTALACION","COORDENADA.X","COORDENADA.Y","LATITUD","LONGITUD","TIPO","AUDIENCIA","X"
12041955,"Es peligroso asomarse al exterior","De 6 a 22 euros",0,1,"M,X,J,V,S,D","","2024-01-25 00:00:00.0","2024-02-25 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=589032617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/TeatroPerformance","",NA
12086617,"Funciones Accesibles 2023/24","",0,1,"V","","2023-10-06 00:00:00.0","2024-07-12 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5479e0b2646a810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/ProgramacionDestacadaAgendaCultura","",NA
12153582,"Ha nacido una bufona - La pícara locuela (Castilla y León)","",1,1,"L,M,X,J,V,S,D","","2023-12-16 00:00:00.0","2023-12-17 23:59:00.0","12:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=afccbe88794ab810VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=784d8c7c0f91f010VgnVCM1000000b205a0aRCRD","Teatro Municipal de Títeres. Parque de El Retiro","1","AVENIDA","MÉXICO",4,"RETIRO","LOS JERÓNIMOS",28009,441748,4474466,40.418783625616,-3.68665194710036,"/contenido/actividades/CuentacuentosTiteresMarionetas","/usuario/Niños",NA
11862714,"III Programa de residencias artísticas de ayudantes de dirección de escena","",0,1,"L,M,X,J,V,S,D","","2023-01-09 00:00:00.0","2024-01-09 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbf07b7ed38c4810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148286826956,-3.70016635995621,"/contenido/actividades/ProgramacionDestacadaAgendaCultura","",NA
12133483,"Introducción. Escucha interna y externa","",0,0,"","","2024-01-12 00:00:00.0","2024-01-12 23:59:00.0","17:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=abd32b189ec3b810VgnVCM2000001f4a900aRCRD","Monográfico IV - Clown y autoconocimiento","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5af2b189ec3b810VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","",NA
12043856,"IV Vividero","",0,1,"L,M,X,J,V,S,D","","2023-11-18 00:00:00.0","2023-12-10 23:59:00.0","17:00","A las 17 horas","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aed2ae811c6f8810VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/ProgramacionDestacadaAgendaCultura","/usuario/Familias",NA
12041943,"La isla del aire","",0,1,"M,X,J,V,S,D","","2023-12-08 00:00:00.0","2024-01-14 23:59:00.0","19:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e2032617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/TeatroPerformance","",NA
12133484,"La máscara de nariz roja. Actitud de clown","",0,0,"","","2024-01-19 00:00:00.0","2024-01-19 23:59:00.0","17:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a442b189ec3b810VgnVCM2000001f4a900aRCRD","Monográfico IV - Clown y autoconocimiento","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5af2b189ec3b810VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","",NA
12152425,"La niña que riega la albahaca - Bailadera Títeres (Asturias)","",1,1,"L,M,X,J,V,S,D","","2023-12-09 00:00:00.0","2023-12-10 23:59:00.0","12:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5e9ec6e824ab810VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=784d8c7c0f91f010VgnVCM1000000b205a0aRCRD","Teatro Municipal de Títeres. Parque de El Retiro","1","AVENIDA","MÉXICO",4,"RETIRO","LOS JERÓNIMOS",28009,441748,4474466,40.418783625616,-3.68665194710036,"/contenido/actividades/CuentacuentosTiteresMarionetas","/usuario/Niños",NA
12130540,"Latinoamérica Inolvidable","",1,0,"","","2023-11-25 00:00:00.0","2023-11-25 23:59:00.0","19:19","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fed7795ff1e1b810VgnVCM1000001d4a900aRCRD","Latinoamérica Inolvidable","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1836795ff1e1b810VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/Musica","",NA
