ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
12155891;"'La plaza Mayor de Madrid'";"";"1";"1";"L,M,X,J,V";"6/12/2023;8/12/2023;25/12/2023;1/1/2024;";"2023-11-15 00:00:00.0";"2024-01-15 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa661fbe039ab810VgnVCM2000001f4a900aRCRD";"'La plaza Mayor de Madrid'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=45161fbe039ab810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"1,6";"CALLE";"BARCELO";"4";"CENTRO";"JUSTICIA";"28004";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"/contenido/actividades/Exposiciones";"";
12126970;"'La voz dormida' de Benito Zambrano";"";"1";"0";"";"";"2024-02-16 00:00:00.0";"2024-02-16 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f14fa6d8441b810VgnVCM2000001f4a900aRCRD";"Cine en tu barrio en la Biblioteca Ángel González";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3bef72b827570810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Ángel González (Latina)";"1,6";"CALLE";"GRANJA DE TORREHERMOSA";"1";"LATINA";"ALUCHE";"28024";"434954";"4472113";"40.397074625115906";"-3.7664885474841556";"/contenido/actividades/CineActividadesAudiovisuales";"";
12160813;"'Las primeras periodistas (1850-1931). Profesionalización y activismo en España, Francia y Reino Unido' de Carolina Pecharromán";"";"1";"0";"";"";"2023-11-27 00:00:00.0";"2023-11-27 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce24c25fcddcb810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro)";"1,6";"PASEO";"FERNÁN NÚÑEZ";"24";"RETIRO";"LOS JERONIMOS";"28009";"442345";"4474221";"40.4166091081099";"-3.6795930368034804";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"";
12162257;"'Libres jilguerillas'  de autora Griselda Rojas";"";"1";"0";"";"";"2023-12-01 00:00:00.0";"2023-12-01 23:59:00.0";"19:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=09dbf13e722db810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5c548d20675e010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal)";"1,6";"CALLE";"ASCAO";"4";"CIUDAD LINEAL";"PUEBLO NUEVO";"28017";"445570";"4475617";"40.42941133441142";"-3.6416899839787695";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"";
12136888;"'Libros infantiles ilustrados de China'";"";"1";"1";"L,M,X,J,V,S,D";"1/11/2023;9/11/2023;6/12/2023;8/12/2023;25/12/2023;";"2023-10-20 00:00:00.0";"2023-12-31 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fd88b3275d4b810VgnVCM1000001d4a900aRCRD";"Exposición 'Libros infantiles ilustrados de China'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=46d88b3275d4b810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"1,6";"CALLE";"SAN JUSTO";"5";"CENTRO";"PALACIO";"28005";"439775";"4473962";"40.41410290844665";"-3.7098591212735883";"/contenido/actividades/Exposiciones";"";
12162118;"'Lis, el hada de las flores";"";"1";"0";"";"";"2023-11-23 00:00:00.0";"2023-11-23 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd69ddbbdcecb810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Ángel González (Latina)";"1,6";"CALLE";"GRANJA DE TORREHERMOSA";"1";"LATINA";"ALUCHE";"28024";"434954";"4472113";"40.397074625115906";"-3.7664885474841556";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños";
12160792;"'Mariposas que vuelven a volar en un mundo de colores' de Cristina Alonso";"";"1";"0";"";"";"2023-11-24 00:00:00.0";"2023-11-24 23:59:00.0";"18:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8673c25fcddcb810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro)";"1,6";"PASEO";"FERNÁN NÚÑEZ";"24";"RETIRO";"LOS JERONIMOS";"28009";"442345";"4474221";"40.4166091081099";"-3.6795930368034804";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"";
12053388;"'Mi experiencia cómo nómada digital'";"";"1";"0";"";"";"2023-12-15 00:00:00.0";"2023-12-15 23:59:00.0";"17:00";"Si el título de esta sesión te ha llamado la atención, no dudes en inscribirte a través de  formulario electrónico .";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1d9000a11fa29810VgnVCM1000001d4a900aRCRD";"Impúlsate con las nuevas tecnologías digitales";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5d80f15b81629810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"1,6";"CALLE";"BARCELO";"4";"CENTRO";"JUSTICIA";"28004";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"/contenido/actividades/CursosTalleres";"";
12077440;"'Morir en el Valle de la Luna' de Nuria Jiménez Blanco";"";"1";"0";"";"";"2023-11-24 00:00:00.0";"2023-11-24 23:59:00.0";"19:00";"Nuria Jiménez Blanco (1961), puertollanera, presenta su libro 'Morir en el Valle de la Luna' (Editorial Con M de Mujer) en el que, en su segunda parte, se podrá establecer un coloquio sobre las causas de la violencia de género y porqué las medidas tomadas hasta ahora no están siendo todo lo eficaces que debieran ser de cara a la prevención. Sobre la novela: 1971. Después de la muerte de su hijo en extrañas circunstancias, Elena decide quitarse la vida arrojándose a las vías del metro de Madrid, pero en el último momento se arrepiente. No quiere dar a su marido esa satisfacción y decide morir en un lugar que tiene un especial significado para ella y su hijo: El Valle de la Luna. Elena es una mujer vapuleada por la vida. Obligada a casarse con alguien a quien no ama, para acallar las habladurías en un pequeño pueblo de provincias, se convierte en una marioneta en manos de un hombre, que la desprecia y le hace ser una sombra desdibujada de sí misma. Quiere escapar para siempre, morir en un lugar remoto y perdido en la selva de Costa Rica, pero el camino hacia la muerte no será fácil. El país la atrapará en todos los sentidos cautivándola y lastimándola, haciendo aflorar aspectos de su personalidad desconocidos para ella. En una huida, siempre hacia adelante, se verá envuelta en una apasionante aventura en la que el destino es incontrolable.  Acceso libre hasta completar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb9a7eab5b30a810VgnVCM1000001d4a900aRCRD";"'Morir en el Valle de la Luna' de Nuria Jiménez Blanco";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2c7a7eab5b30a810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"1,6";"CALLE";"BARCELO";"4";"CENTRO";"JUSTICIA";"28004";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"";
12149614;"'Mundo ballena'";"";"1";"0";"";"";"2023-11-15 00:00:00.0";"2023-11-15 23:59:00.0";"18:00";"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.  Este cuento está pensado para niñas y niños de 4 años en adelante.   Entrada libre hasta completar aforo.  Recuerda que los niños y niñas deberán ir acompañados por una persona adulta.  Te esperamos en la biblioteca para pasar un buen rato lleno de fantasía, de la mano de la cuentera Mar del Rey.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9af131ac77f8b810VgnVCM2000001f4a900aRCRD";"Cuentacuentos del 13 al 19 de octubre";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f67105e88fc9810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=89a40a47f441f010VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Portazgo (Puente de Vallecas)";"1,6";"CALLE";"CANTALAPIEDRA";"11";"PUENTE DE VALLECAS";"NUMANCIA";"28038";"444376";"4471605";"40.393189968014696";"-3.6554147649183943";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños";
